country,year,hdi,gdp_per_capita,edu_expenditure_pct,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate
Very high human development,1990,,,,,,,,,,,,,,
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Reykjavik,University of Iceland,Computer Science,Master,2.0,0.0,84.5,1200.0,140.0,900.0,137.5
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Akureyri,University of Akureyri,Data Analytics,Bachelor,3.0,0.0,78.4,900.0,140.0,900.0,137.5
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Reykjavik,Reykjavik University,Robotics,Master,2.0,0.0,84.5,1150.0,140.0,900.0,137.5
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Hafnarfjordur,Iceland University of Arts,Digital Design,Master,2.0,0.0,82.1,1000.0,140.0,900.0,137.5
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Kopavogur,Bifrost University,Digital Business,Bachelor,3.0,0.0,81.2,950.0,140.0,900.0,137.5
Iceland,1990,0.841,25384.9150226302,4.25862979888916,Borgarnes,Agricultural University,Data Systems,Master,2.0,0.0,79.8,900.0,140.0,900.0,137.5
Norway,1990,0.856,28242.981402822,6.31036996841431,Oslo,University of Oslo,Environmental Science,Bachelor,3.0,0.0,75.6,1400.0,135.0,450.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Oslo,University of Oslo,Computer Science,Master,2.0,0.0,83.2,1400.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Trondheim,NTNU,Robotics,Master,2.0,0.0,75.6,1100.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Bergen,University of Bergen,Artificial Intelligence,Master,2.0,0.0,74.3,1200.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Tromsø,UiT Arctic University,Marine Technology,PhD,4.0,0.0,71.2,1000.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Stavanger,University of Stavanger,Petroleum Engineering,Master,2.0,0.0,72.4,1100.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Ås,Norwegian University of Life Sciences,Biotechnology,Master,2.0,0.0,70.5,900.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Bodø,Nord University,Marine Biology,Bachelor,3.0,0.0,69.4,850.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Gjøvik,NTNU Gjøvik,Information Security,Master,2.0,0.0,68.9,800.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Kristiansand,University of Agder,Renewable Energy,PhD,4.0,0.0,67.8,850.0,275.0,700.0,10.45
Norway,1990,0.856,28242.981402822,6.31036996841431,Horten,University of South-Eastern Norway,Systems Engineering,Master,2.0,0.0,66.7,800.0,275.0,700.0,10.45
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Zurich,ETH Zurich,Physics,Master,2.0,1460.0,91.5,2100.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Basel,ETH Basel,Pharmaceutical Sciences,PhD,4.0,1500.0,88.6,1800.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Lausanne,EPFL,Computer Science,Master,2.0,1460.0,89.8,1900.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Geneva,University of Geneva,Data Science,Bachelor,3.0,1380.0,90.5,2000.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Bern,University of Bern,Software Engineering,Master,2.0,1420.0,85.4,1700.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,St. Gallen,University of St. Gallen,Business Informatics,Bachelor,3.0,1440.0,86.2,1600.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Lugano,USI,Artificial Intelligence,Master,2.0,1460.0,84.5,1500.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Fribourg,University of Fribourg,Computer Engineering,Bachelor,3.0,1380.0,83.8,1400.0,88.0,1200.0,0.89
Switzerland,1990,0.858,39574.5398083788,4.39194011688232,Neuchatel,University of Neuchatel,Information Systems,Master,2.0,1420.0,84.2,1500.0,88.0,1200.0,0.89
